angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.08,"[248, 81, 106, 136]",0.0,0.47,0.0,0.07,0.11,0.27
0.12,"[245, 89, 101, 126]",0.0,0.56,0.0,0.14,0.11,0.07
0.19,"[245, 90, 101, 123]",0.0,0.23,0.0,0.29,0.14,0.14
0.25,"[246, 81, 104, 130]",0.0,0.28,0.0,0.22,0.15,0.1
0.17,"[243, 90, 101, 123]",0.0,0.39,0.0,0.07,0.1,0.27
0.03,"[242, 90, 100, 125]",0.0,0.58,0.0,0.01,0.06,0.31
0.03,"[241, 89, 102, 127]",0.0,0.67,0.0,0.0,0.02,0.28
0.03,"[242, 82, 106, 139]",0.0,0.77,0.0,0.0,0.02,0.18
0.02,"[242, 85, 104, 137]",0.0,0.66,0.0,0.0,0.02,0.3
0.02,"[238, 90, 104, 130]",0.0,0.49,0.0,0.01,0.04,0.44
0.03,"[242, 85, 105, 131]",0.0,0.54,0.0,0.25,0.08,0.1
0.07,"[240, 81, 114, 145]",0.0,0.57,0.0,0.14,0.18,0.03
0.04,"[240, 80, 118, 149]",0.0,0.65,0.01,0.08,0.17,0.05
0.09,"[240, 79, 117, 146]",0.0,0.1,0.0,0.37,0.43,0.0
0.04,"[244, 87, 103, 129]",0.0,0.21,0.0,0.56,0.18,0.01
0.09,"[238, 89, 103, 131]",0.0,0.55,0.01,0.19,0.12,0.04
0.06,"[242, 93, 99, 123]",0.0,0.58,0.0,0.02,0.08,0.26
0.08,"[241, 92, 103, 127]",0.0,0.63,0.01,0.04,0.1,0.14
0.06,"[240, 93, 103, 127]",0.0,0.56,0.0,0.03,0.16,0.18
0.07,"[243, 86, 104, 131]",0.0,0.37,0.0,0.33,0.23,0.01
0.07,"[243, 85, 104, 130]",0.0,0.2,0.0,0.21,0.52,0.0
0.07,"[245, 87, 102, 131]",0.0,0.35,0.0,0.19,0.38,0.01
0.05,"[243, 86, 105, 134]",0.0,0.64,0.0,0.11,0.11,0.07
0.05,"[243, 89, 104, 133]",0.0,0.67,0.01,0.08,0.04,0.15
0.03,"[242, 88, 117, 149]",0.0,0.72,0.02,0.06,0.06,0.12
0.02,"[243, 90, 106, 140]",0.0,0.65,0.03,0.14,0.11,0.04
0.03,"[243, 93, 105, 134]",0.0,0.42,0.04,0.32,0.15,0.04
0.04,"[243, 94, 105, 133]",0.0,0.34,0.03,0.34,0.24,0.01
0.04,"[241, 96, 103, 130]",0.0,0.45,0.01,0.32,0.14,0.04
0.04,"[241, 96, 102, 128]",0.0,0.41,0.0,0.28,0.26,0.02
0.04,"[242, 93, 104, 130]",0.0,0.3,0.0,0.3,0.35,0.0
0.11,"[239, 93, 110, 137]",0.0,0.24,0.0,0.25,0.39,0.01
0.12,"[239, 92, 109, 140]",0.0,0.32,0.0,0.22,0.33,0.01
0.09,"[239, 91, 110, 143]",0.0,0.44,0.0,0.23,0.23,0.02
0.1,"[238, 94, 109, 139]",0.0,0.49,0.0,0.18,0.2,0.02
0.06,"[241, 91, 106, 132]",0.0,0.2,0.0,0.42,0.32,0.0
0.08,"[237, 93, 113, 144]",0.0,0.55,0.0,0.09,0.24,0.03
0.05,"[236, 90, 118, 150]",0.0,0.32,0.0,0.42,0.18,0.01
0.08,"[237, 90, 118, 150]",0.0,0.23,0.01,0.5,0.16,0.03
0.15,"[237, 88, 117, 150]",0.0,0.29,0.01,0.36,0.08,0.11
0.11,"[239, 89, 116, 149]",0.0,0.28,0.02,0.36,0.09,0.15
0.07,"[238, 89, 116, 149]",0.0,0.28,0.01,0.48,0.08,0.07
0.12,"[237, 88, 118, 151]",0.0,0.31,0.01,0.36,0.09,0.12
0.1,"[237, 88, 117, 150]",0.0,0.32,0.01,0.41,0.07,0.08
0.06,"[237, 90, 117, 148]",0.0,0.43,0.01,0.31,0.16,0.04
0.05,"[238, 89, 117, 148]",0.0,0.44,0.01,0.33,0.12,0.06
0.02,"[243, 91, 104, 130]",0.0,0.42,0.0,0.37,0.19,0.01
0.14,"[238, 87, 117, 150]",0.0,0.38,0.01,0.21,0.23,0.03
0.08,"[239, 87, 118, 151]",0.0,0.47,0.01,0.23,0.18,0.02
0.05,"[243, 90, 107, 135]",0.0,0.3,0.01,0.44,0.19,0.01
0.04,"[244, 90, 106, 134]",0.0,0.36,0.01,0.33,0.26,0.0
0.01,"[240, 86, 120, 155]",0.0,0.69,0.01,0.21,0.06,0.01
0.03,"[243, 87, 107, 138]",0.0,0.62,0.04,0.09,0.09,0.13
0.23,"[242, 85, 111, 144]",0.0,0.42,0.06,0.02,0.08,0.19
0.04,"[245, 86, 108, 138]",0.0,0.07,0.57,0.01,0.01,0.3
0.02,"[245, 85, 108, 135]",0.0,0.11,0.58,0.04,0.03,0.22
0.04,"[246, 88, 105, 130]",0.0,0.18,0.26,0.1,0.02,0.41
0.03,"[246, 88, 105, 130]",0.0,0.28,0.02,0.52,0.04,0.1
0.02,"[243, 90, 105, 129]",0.0,0.51,0.01,0.35,0.07,0.02
0.05,"[246, 87, 106, 131]",0.0,0.21,0.0,0.63,0.09,0.02
0.17,"[242, 83, 118, 150]",0.0,0.12,0.01,0.62,0.08,0.01
0.1,"[244, 86, 118, 149]",0.0,0.29,0.01,0.51,0.07,0.02
0.14,"[242, 87, 117, 152]",0.0,0.22,0.01,0.49,0.13,0.02
0.16,"[243, 89, 117, 151]",0.0,0.34,0.01,0.37,0.07,0.04
0.11,"[242, 90, 115, 147]",0.0,0.4,0.01,0.32,0.15,0.02
0.17,"[244, 89, 112, 142]",0.0,0.27,0.0,0.4,0.15,0.01
0.32,"[245, 89, 113, 143]",0.0,0.16,0.0,0.31,0.2,0.01
0.04,"[243, 89, 116, 146]",0.0,0.57,0.02,0.24,0.1,0.02
0.07,"[239, 105, 95, 118]",0.0,0.78,0.01,0.01,0.04,0.08
0.12,"[240, 105, 96, 119]",0.0,0.53,0.1,0.01,0.05,0.19
0.15,"[240, 104, 97, 118]",0.0,0.55,0.06,0.01,0.06,0.18
0.14,"[241, 105, 94, 117]",0.0,0.33,0.19,0.02,0.05,0.28
0.09,"[242, 105, 96, 120]",0.0,0.26,0.3,0.01,0.03,0.3
0.07,"[245, 91, 111, 143]",0.0,0.05,0.78,0.04,0.02,0.04
0.05,"[240, 105, 94, 115]",0.0,0.08,0.41,0.01,0.0,0.45
0.05,"[241, 104, 93, 116]",0.0,0.06,0.58,0.01,0.0,0.3
0.04,"[241, 105, 93, 116]",0.0,0.03,0.75,0.0,0.0,0.17
0.01,"[241, 92, 114, 146]",0.0,0.0,0.96,0.02,0.0,0.0
0.06,"[244, 91, 104, 130]",0.0,0.01,0.89,0.02,0.02,0.0
0.03,"[246, 91, 100, 126]",0.0,0.03,0.86,0.02,0.03,0.02
0.05,"[254, 92, 96, 121]",0.0,0.07,0.78,0.01,0.04,0.06
0.01,"[248, 83, 103, 134]",0.0,0.01,0.96,0.0,0.0,0.02
0.0,"[249, 81, 104, 134]",0.0,0.0,0.99,0.0,0.0,0.01
0.03,"[255, 85, 101, 125]",0.0,0.02,0.93,0.01,0.0,0.0
0.01,"[252, 81, 102, 128]",0.0,0.01,0.97,0.02,0.0,0.0
0.04,"[264, 89, 94, 118]",0.0,0.1,0.59,0.22,0.03,0.01
