angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.07,"[236, 91, 103, 131]",0.0,0.61,0.01,0.07,0.19,0.04
0.06,"[236, 92, 102, 129]",0.0,0.49,0.02,0.19,0.2,0.04
0.04,"[237, 93, 102, 128]",0.0,0.55,0.01,0.15,0.21,0.04
0.08,"[237, 93, 102, 127]",0.0,0.38,0.07,0.26,0.15,0.06
0.17,"[241, 87, 103, 133]",0.0,0.2,0.22,0.23,0.11,0.06
0.14,"[247, 96, 96, 121]",0.0,0.09,0.64,0.06,0.05,0.03
0.01,"[237, 92, 99, 126]",0.0,0.0,0.98,0.0,0.0,0.01
0.07,"[241, 89, 101, 132]",0.0,0.01,0.91,0.01,0.0,0.01
0.07,"[238, 89, 103, 133]",0.0,0.01,0.91,0.01,0.0,0.0
0.02,"[238, 87, 104, 135]",0.0,0.0,0.96,0.01,0.0,0.0
0.01,"[238, 88, 104, 132]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[238, 87, 104, 133]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[238, 87, 104, 135]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[238, 87, 104, 133]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[238, 88, 104, 134]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[238, 88, 104, 133]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[238, 88, 104, 132]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[237, 88, 103, 134]",0.0,0.0,0.99,0.01,0.0,0.0
0.01,"[237, 88, 102, 133]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[238, 88, 103, 133]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[238, 88, 103, 133]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[236, 87, 103, 133]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[236, 87, 103, 133]",0.0,0.0,0.98,0.0,0.0,0.0
0.01,"[237, 87, 103, 133]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[236, 88, 104, 133]",0.0,0.0,0.98,0.01,0.0,0.0
0.02,"[238, 88, 101, 131]",0.0,0.0,0.97,0.0,0.0,0.0
0.02,"[238, 88, 102, 130]",0.0,0.0,0.97,0.0,0.0,0.0
0.02,"[236, 88, 103, 131]",0.0,0.0,0.97,0.01,0.0,0.0
0.02,"[237, 86, 102, 134]",0.0,0.0,0.97,0.0,0.0,0.01
0.05,"[236, 84, 104, 135]",0.0,0.0,0.92,0.0,0.0,0.02
0.1,"[234, 82, 105, 137]",0.0,0.01,0.88,0.0,0.0,0.01
0.12,"[235, 82, 103, 136]",0.0,0.01,0.85,0.0,0.0,0.02
0.12,"[233, 82, 103, 136]",0.0,0.03,0.83,0.0,0.01,0.02
0.05,"[232, 82, 101, 132]",0.0,0.06,0.86,0.0,0.0,0.02
0.05,"[230, 78, 105, 136]",0.0,0.03,0.89,0.0,0.01,0.02
0.04,"[228, 78, 105, 134]",0.0,0.04,0.88,0.0,0.02,0.02
0.0,"[223, 80, 100, 126]",0.0,0.0,0.99,0.0,0.0,0.01
0.09,"[220, 71, 108, 138]",0.0,0.02,0.84,0.0,0.02,0.02
0.02,"[217, 82, 101, 123]",0.0,0.01,0.96,0.0,0.0,0.01
0.07,"[210, 78, 108, 132]",0.0,0.02,0.79,0.0,0.08,0.03
0.22,"[205, 78, 112, 133]",0.0,0.04,0.46,0.01,0.21,0.05
0.27,"[205, 80, 109, 128]",0.0,0.11,0.03,0.01,0.42,0.16
0.17,"[206, 82, 107, 128]",0.0,0.16,0.03,0.07,0.27,0.3
0.16,"[203, 83, 109, 128]",0.0,0.12,0.03,0.09,0.31,0.29
0.15,"[204, 83, 108, 124]",0.0,0.32,0.01,0.16,0.13,0.23
0.19,"[205, 82, 109, 125]",0.0,0.13,0.01,0.42,0.24,0.01
0.12,"[206, 84, 107, 121]",0.0,0.07,0.01,0.59,0.17,0.03
0.16,"[206, 84, 107, 123]",0.0,0.23,0.02,0.33,0.21,0.06
0.21,"[206, 84, 109, 126]",0.0,0.17,0.28,0.1,0.16,0.07
0.09,"[206, 82, 108, 128]",0.0,0.09,0.66,0.03,0.04,0.09
0.17,"[210, 89, 103, 122]",0.0,0.2,0.22,0.21,0.16,0.02
0.25,"[209, 85, 105, 122]",0.0,0.31,0.09,0.13,0.16,0.06
0.13,"[208, 84, 105, 121]",0.0,0.18,0.01,0.46,0.16,0.06
0.12,"[209, 86, 104, 119]",0.0,0.23,0.01,0.35,0.17,0.11
0.14,"[210, 85, 103, 120]",0.0,0.26,0.01,0.32,0.14,0.13
0.16,"[209, 85, 104, 121]",0.0,0.24,0.02,0.24,0.1,0.25
0.06,"[208, 84, 104, 121]",0.0,0.22,0.01,0.49,0.19,0.03
0.15,"[209, 85, 104, 122]",0.0,0.2,0.02,0.39,0.14,0.1
0.13,"[210, 86, 104, 120]",0.0,0.22,0.03,0.41,0.11,0.11
0.12,"[209, 87, 105, 120]",0.0,0.26,0.11,0.3,0.11,0.09
0.17,"[209, 86, 105, 123]",0.0,0.15,0.13,0.41,0.08,0.06
0.07,"[210, 85, 106, 126]",0.0,0.09,0.44,0.28,0.04,0.08
0.08,"[210, 86, 105, 124]",0.0,0.1,0.55,0.05,0.04,0.18
0.07,"[210, 86, 105, 126]",0.0,0.05,0.72,0.05,0.03,0.07
0.01,"[206, 83, 114, 136]",0.0,0.01,0.92,0.04,0.0,0.02
0.02,"[210, 85, 107, 126]",0.0,0.01,0.85,0.01,0.0,0.11
0.12,"[210, 93, 97, 117]",0.0,0.18,0.51,0.04,0.03,0.11
0.06,"[211, 92, 100, 120]",0.0,0.03,0.86,0.02,0.01,0.02
0.04,"[212, 92, 100, 120]",0.0,0.03,0.91,0.01,0.0,0.01
0.07,"[212, 92, 102, 121]",0.0,0.05,0.81,0.02,0.01,0.04
0.1,"[211, 93, 100, 119]",0.0,0.1,0.71,0.05,0.02,0.02
0.06,"[210, 87, 105, 126]",0.0,0.06,0.7,0.01,0.01,0.16
0.09,"[210, 86, 105, 128]",0.0,0.08,0.59,0.02,0.03,0.19
0.1,"[210, 86, 106, 129]",0.0,0.1,0.5,0.07,0.07,0.15
0.23,"[210, 87, 106, 128]",0.0,0.12,0.33,0.05,0.08,0.19
0.28,"[210, 87, 106, 128]",0.0,0.17,0.21,0.07,0.12,0.15
0.05,"[209, 86, 107, 128]",0.0,0.1,0.37,0.28,0.11,0.09
0.08,"[210, 87, 105, 126]",0.0,0.09,0.46,0.21,0.11,0.06
0.1,"[212, 87, 104, 127]",0.0,0.14,0.32,0.22,0.11,0.11
0.1,"[211, 88, 105, 126]",0.0,0.17,0.27,0.09,0.07,0.31
0.12,"[212, 88, 105, 127]",0.0,0.16,0.25,0.19,0.09,0.19
0.1,"[213, 88, 106, 128]",0.0,0.26,0.08,0.23,0.26,0.08
0.12,"[213, 89, 105, 127]",0.0,0.22,0.05,0.21,0.15,0.25
0.08,"[214, 89, 105, 127]",0.0,0.24,0.04,0.09,0.13,0.42
0.07,"[214, 88, 107, 131]",0.0,0.22,0.01,0.25,0.18,0.27
0.11,"[212, 88, 109, 133]",0.0,0.21,0.0,0.07,0.25,0.37
0.08,"[213, 88, 107, 132]",0.0,0.32,0.0,0.12,0.24,0.23
0.05,"[215, 89, 105, 126]",0.0,0.16,0.0,0.62,0.15,0.02
0.03,"[214, 89, 105, 127]",0.0,0.18,0.0,0.58,0.2,0.01
0.03,"[213, 90, 106, 129]",0.0,0.25,0.01,0.56,0.11,0.05
0.03,"[213, 91, 108, 131]",0.0,0.28,0.02,0.36,0.12,0.19
0.02,"[213, 91, 112, 134]",0.0,0.27,0.02,0.42,0.12,0.15
0.03,"[214, 92, 111, 135]",0.0,0.16,0.0,0.53,0.25,0.03
0.13,"[214, 92, 113, 135]",0.0,0.14,0.0,0.29,0.43,0.01
0.04,"[215, 101, 99, 123]",0.0,0.65,0.01,0.03,0.04,0.24
0.08,"[214, 100, 103, 126]",0.0,0.51,0.01,0.01,0.03,0.36
0.03,"[216, 90, 110, 139]",0.0,0.22,0.07,0.02,0.04,0.62
0.03,"[214, 102, 100, 121]",0.0,0.16,0.01,0.01,0.02,0.77
0.06,"[215, 101, 101, 123]",0.0,0.23,0.01,0.02,0.04,0.64
0.03,"[218, 94, 105, 130]",0.0,0.33,0.01,0.24,0.06,0.33
0.04,"[218, 95, 106, 129]",0.0,0.49,0.0,0.27,0.11,0.08
0.08,"[217, 94, 108, 130]",0.0,0.22,0.0,0.47,0.19,0.04
0.22,"[215, 102, 99, 121]",0.0,0.41,0.0,0.15,0.13,0.09
0.03,"[218, 95, 107, 129]",0.0,0.48,0.0,0.29,0.12,0.08
0.04,"[218, 95, 107, 129]",0.0,0.36,0.0,0.4,0.14,0.05
0.03,"[219, 94, 105, 128]",0.0,0.61,0.0,0.09,0.11,0.16
0.04,"[218, 92, 107, 132]",0.0,0.51,0.0,0.22,0.17,0.07
0.08,"[223, 93, 106, 130]",0.0,0.39,0.0,0.1,0.23,0.2
0.14,"[224, 92, 106, 132]",0.0,0.31,0.0,0.16,0.25,0.15
0.04,"[220, 93, 106, 131]",0.0,0.48,0.0,0.24,0.19,0.05
0.04,"[220, 92, 107, 132]",0.0,0.44,0.01,0.29,0.15,0.06
0.16,"[224, 89, 107, 134]",0.0,0.3,0.03,0.05,0.09,0.36
0.07,"[222, 89, 110, 136]",0.0,0.33,0.04,0.27,0.11,0.17
0.09,"[224, 91, 107, 131]",0.0,0.39,0.0,0.26,0.26,0.01
0.09,"[223, 90, 107, 131]",0.0,0.25,0.0,0.35,0.29,0.01
0.16,"[222, 89, 109, 133]",0.0,0.19,0.0,0.28,0.35,0.01
0.06,"[224, 90, 108, 132]",0.0,0.5,0.0,0.21,0.2,0.02
0.03,"[224, 90, 107, 132]",0.0,0.6,0.0,0.16,0.11,0.08
0.04,"[225, 88, 107, 135]",0.0,0.3,0.01,0.27,0.1,0.29
0.09,"[222, 93, 101, 126]",0.0,0.6,0.0,0.06,0.15,0.09
0.09,"[223, 93, 100, 124]",0.0,0.69,0.01,0.01,0.06,0.16
0.14,"[223, 84, 111, 139]",0.0,0.32,0.21,0.1,0.03,0.21
0.21,"[224, 85, 108, 136]",0.0,0.41,0.08,0.12,0.1,0.08
0.16,"[225, 84, 108, 136]",0.0,0.37,0.07,0.07,0.05,0.27
0.33,"[223, 89, 104, 130]",0.0,0.4,0.01,0.05,0.1,0.11
0.19,"[224, 90, 102, 127]",0.0,0.4,0.0,0.02,0.17,0.22
0.07,"[224, 89, 102, 129]",0.0,0.63,0.0,0.01,0.07,0.22
0.1,"[227, 89, 101, 125]",0.0,0.7,0.0,0.05,0.09,0.07
0.18,"[227, 89, 100, 123]",0.0,0.54,0.0,0.04,0.19,0.05
0.02,"[229, 81, 104, 132]",0.0,0.41,0.02,0.33,0.08,0.13
0.03,"[225, 87, 102, 127]",0.0,0.2,0.02,0.0,0.01,0.74
0.08,"[227, 88, 100, 124]",0.0,0.45,0.06,0.0,0.03,0.38
0.07,"[228, 88, 98, 125]",0.0,0.25,0.03,0.0,0.02,0.63
0.23,"[228, 87, 98, 125]",0.0,0.52,0.0,0.01,0.1,0.15
0.27,"[227, 89, 99, 123]",0.0,0.47,0.0,0.01,0.08,0.17
0.1,"[230, 83, 103, 128]",0.0,0.34,0.0,0.25,0.23,0.08
0.04,"[230, 83, 102, 127]",0.0,0.56,0.0,0.1,0.14,0.16
0.04,"[231, 83, 101, 126]",0.0,0.57,0.0,0.08,0.15,0.16
0.03,"[231, 83, 101, 126]",0.0,0.68,0.0,0.05,0.14,0.1
0.04,"[231, 82, 102, 127]",0.0,0.57,0.0,0.15,0.19,0.03
0.04,"[231, 81, 104, 130]",0.0,0.55,0.0,0.08,0.12,0.2
0.03,"[232, 81, 102, 128]",0.0,0.54,0.0,0.17,0.21,0.04
0.09,"[233, 82, 102, 127]",0.0,0.36,0.0,0.17,0.36,0.02
0.08,"[235, 83, 102, 127]",0.0,0.41,0.0,0.14,0.34,0.02
0.07,"[248, 73, 109, 134]",0.0,0.6,0.01,0.05,0.13,0.15
0.07,"[237, 81, 104, 134]",0.0,0.64,0.01,0.08,0.15,0.06
0.05,"[238, 83, 102, 129]",0.0,0.26,0.01,0.49,0.19,0.01
